pair,mode,asset_class,markets,med_sharpe,share_pos,med_cagr,med_dd,med_calmar,med_bh_sharpe,beat_bh
100/300,ls,fut_commodity,10,0.15,0.7,-0.012,-0.761,-0.014,0.228,0.4
100/300,ls,fut_equity,10,0.022,0.6,-0.047,-0.718,-0.076,0.408,0.0
100/300,ls,fut_rates,7,0.226,0.857,0.022,-0.172,0.047,0.469,0.286
100/300,ls,fx_futures,16,0.072,0.625,-0.0,-0.386,-0.001,0.018,0.5
100/300,ls,index,4,0.447,1.0,0.056,-0.371,0.178,0.81,0.0
100/300,ls,index_pkg,2,0.237,1.0,0.026,-0.519,0.05,0.25,0.5
100/300,ls,stock,26,0.417,0.885,0.062,-0.405,0.169,0.744,0.077
116/378,long,crypto,3,0.709,0.667,0.258,-0.533,0.487,0.559,0.333
116/378,long,etf,4,0.89,0.75,0.076,-0.211,0.627,0.886,0.5
116/378,long,fut_commodity,10,0.158,0.8,0.001,-0.703,0.002,0.228,0.6
116/378,long,fut_equity,10,0.232,0.9,0.019,-0.479,0.035,0.408,0.0
116/378,long,fut_rates,7,0.433,1.0,0.045,-0.129,0.148,0.469,0.429
116/378,long,fx_futures,16,0.021,0.5,-0.005,-0.323,-0.011,0.018,0.438
116/378,long,index,4,0.821,1.0,0.112,-0.217,0.583,0.81,0.5
116/378,long,index_pkg,2,0.414,1.0,0.05,-0.322,0.16,0.25,1.0
116/378,long,stock,26,0.701,1.0,0.116,-0.271,0.439,0.744,0.346
116/378,ls,crypto,3,0.742,0.667,0.301,-0.785,0.564,0.559,0.333
116/378,ls,etf,4,0.831,0.75,0.076,-0.211,0.518,0.886,0.5
116/378,ls,fut_commodity,10,0.128,0.8,0.007,-0.748,0.011,0.228,0.4
116/378,ls,fut_equity,10,-0.022,0.3,-0.033,-0.671,-0.061,0.408,0.0
116/378,ls,fut_rates,7,0.306,1.0,0.03,-0.134,0.09,0.469,0.429
116/378,ls,fx_futures,16,-0.001,0.438,-0.009,-0.422,-0.029,0.018,0.5
116/378,ls,index,4,0.75,1.0,0.102,-0.227,0.508,0.81,0.25
116/378,ls,index_pkg,2,0.311,1.0,0.045,-0.485,0.092,0.25,1.0
116/378,ls,stock,26,0.538,0.885,0.094,-0.417,0.237,0.744,0.269
120/398,long,crypto,3,0.651,0.667,0.221,-0.561,0.394,0.559,0.333
