history,asset,bars,disagree_bars,scored_bars,disagree_pct,max_ema_gap_bp,sharpe_study,sharpe_mt4,sharpe_gap,flips_study,flips_mt4,cagr_study,cagr_mt4
4x slow (528 bars),fut_commodity/COTTON,528,0,264,0.0,32.1402,-0.2818,-0.2818,0.0,1,1,-0.0316,-0.0316
4x slow (528 bars),fut_commodity/CRUDE_W,528,1,264,0.3788,2.5288,0.9113,0.7611,-0.1502,1,1,0.1675,0.1335
4x slow (528 bars),fut_commodity/GAS_US,528,0,264,0.0,84.5678,,,,0,0,0.0,0.0
4x slow (528 bars),fut_commodity/GOLD,528,1,264,0.3788,6.4074,0.3814,0.4019,0.0205,3,3,0.0386,0.0411
4x slow (528 bars),fut_commodity/SILVER,528,13,264,4.9242,10.8239,-0.0477,-0.7207,-0.673,5,7,-0.0257,-0.1295
4x slow (528 bars),fut_commodity/SOYBEAN,528,0,264,0.0,3.7442,-1.075,-1.075,0.0,2,2,-0.1042,-0.1042
4x slow (528 bars),fut_commodity/WHEAT,528,0,264,0.0,35.9333,,,,0,0,0.0,0.0
4x slow (528 bars),fut_equity/BOVESPA,528,4,264,1.5152,6.7383,-0.4219,-0.4865,-0.0646,3,3,-0.0466,-0.0518
4x slow (528 bars),fut_equity/CAC,528,0,264,0.0,2.9329,0.7115,0.7115,0.0,3,3,0.0723,0.0723
4x slow (528 bars),fut_equity/DAX,528,2,264,0.7576,8.761,0.7904,0.8172,0.0268,3,3,0.0761,0.0789
4x slow (528 bars),fut_equity/EUROSTX200-LARGE,528,0,264,0.0,3.0893,1.2812,1.2812,0.0,3,3,0.123,0.123
4x slow (528 bars),fut_equity/FTSE100,528,1,264,0.3788,7.2019,-0.9076,-0.8787,0.029,5,5,-0.0838,-0.0814
4x slow (528 bars),fut_equity/HANG,528,1,264,0.3788,1.7718,-0.4614,-0.6587,-0.1973,2,2,-0.0471,-0.0663
4x slow (528 bars),fut_equity/IBEX,528,0,264,0.0,1.0975,1.9076,1.9076,0.0,1,1,0.2638,0.2638
4x slow (528 bars),fut_equity/KOSPI,528,6,264,2.2727,6.4012,0.8383,0.8767,0.0384,3,3,0.1081,0.1103
4x slow (528 bars),fut_equity/NIKKEI,528,0,264,0.0,8.9076,2.3141,2.3141,0.0,1,1,0.4784,0.4784
4x slow (528 bars),fut_equity/TOPIX,528,0,264,0.0,4.4846,2.572,2.572,0.0,1,1,0.4547,0.4547
4x slow (528 bars),fut_rates/BOBL,528,0,264,0.0,0.1212,-0.6733,-0.6733,0.0,1,1,-0.0131,-0.0131
4x slow (528 bars),fut_rates/BUND,528,0,264,0.0,9.3759,-0.8763,-0.8763,0.0,1,1,-0.0301,-0.0301
4x slow (528 bars),fut_rates/GILT,528,0,264,0.0,4.4825,-0.1087,-0.1087,0.0,1,1,-0.0058,-0.0058
4x slow (528 bars),fut_rates/JGB,528,0,264,0.0,0.8906,-0.7355,-0.7355,0.0,3,3,-0.0171,-0.0171
4x slow (528 bars),fut_rates/OAT,528,0,264,0.0,8.5249,-0.5078,-0.5078,0.0,1,1,-0.0166,-0.0166
4x slow (528 bars),fut_rates/US10,528,0,264,0.0,7.2262,-1.9348,-1.9348,0.0,2,2,-0.034,-0.034
4x slow (528 bars),fut_rates/US20,528,0,264,0.0,11.0623,-1.2448,-1.2448,0.0,2,2,-0.0234,-0.0234
4x slow (528 bars),fx_futures/AUD,528,0,264,0.0,7.0971,-2.2285,-2.2285,0.0,2,2,-0.057,-0.057
4x slow (528 bars),fx_futures/CAD,528,1,264,0.3788,3.4268,-1.9297,-1.9806,-0.051,4,4,-0.0602,-0.0618
4x slow (528 bars),fx_futures/CHF,528,0,264,0.0,4.1518,-0.6519,-0.6519,0.0,4,4,-0.0437,-0.0437
4x slow (528 bars),fx_futures/CLP,528,0,264,0.0,5.7816,-0.4477,-0.4477,0.0,2,2,-0.0366,-0.0366
4x slow (528 bars),fx_futures/CNH,528,3,264,1.1364,2.3265,0.7481,0.6937,-0.0544,3,3,0.0301,0.0278
4x slow (528 bars),fx_futures/CZK,528,1,264,0.3788,5.4609,-0.6341,-0.4802,0.1539,4,2,-0.0419,-0.0319
4x slow (528 bars),fx_futures/EUR,528,1,264,0.3788,3.3213,-1.1048,-1.06,0.0447,4,4,-0.0529,-0.0508
4x slow (528 bars),fx_futures/GBP,528,0,264,0.0,6.3057,-0.3564,-0.3564,0.0,3,3,-0.0255,-0.0255
4x slow (528 bars),fx_futures/INR,528,17,264,6.4394,3.3868,-1.0331,-1.5777,-0.5446,3,5,-0.0193,-0.0267
4x slow (528 bars),fx_futures/JPY,528,2,264,0.7576,0.2739,-1.0152,-1.4031,-0.3879,2,2,-0.0291,-0.0388
4x slow (528 bars),fx_futures/NOK,528,0,264,0.0,15.2326,,,,0,0,0.0,0.0
4x slow (528 bars),fx_futures/NZD,528,28,264,10.6061,7.5166,-1.9728,-1.2401,0.7327,9,1,-0.1211,-0.0555
4x slow (528 bars),fx_futures/PLN,528,2,264,0.7576,3.0522,0.4911,0.5026,0.0115,3,3,0.0443,0.0454
4x slow (528 bars),fx_futures/SEK,528,9,264,3.4091,7.2166,-1.2775,-1.0533,0.2242,3,3,-0.0738,-0.0592
4x slow (528 bars),fx_futures/SGD,528,2,264,0.7576,1.1739,-0.4063,-0.2889,0.1174,3,3,-0.0123,-0.009
4x slow (528 bars),fx_futures/ZAR,528,6,264,2.2727,3.6877,-1.4422,-1.4466,-0.0043,8,8,-0.092,-0.0889
4x slow (528 bars),fx_spot_ctrl/SGDUSD,528,0,264,0.0,0.6816,-0.6972,-0.6972,0.0,3,3,-0.0258,-0.0258
4x slow (528 bars),index/^DJI,528,0,264,0.0,0.2022,0.002,0.002,0.0,2,2,-0.0108,-0.0108
4x slow (528 bars),index/^GSPC,528,0,264,0.0,0.4677,0.0605,0.0605,0.0,2,2,-0.0008,-0.0008
4x slow (528 bars),index/^IXIC,528,0,264,0.0,0.8246,0.2154,0.2154,0.0,2,2,0.022,0.022
4x slow (528 bars),index/^RUT,528,0,264,0.0,2.0474,0.0196,0.0196,0.0,2,2,-0.0058,-0.0058
4x slow (528 bars),index_pkg/NDX,528,0,264,0.0,5.7631,0.2972,0.2972,0.0,2,2,0.037,0.037
4x slow (528 bars),index_pkg/SPX,528,0,264,0.0,2.6684,0.0281,0.0281,0.0,2,2,-0.0062,-0.0062
4x slow (528 bars),stock/AAPL,528,0,264,0.0,4.6146,0.4556,0.4556,0.0,2,2,0.0868,0.0868
4x slow (528 bars),stock/AXP,528,0,264,0.0,0.6224,0.4284,0.4284,0.0,3,3,0.0751,0.0751
4x slow (528 bars),stock/BA,528,0,264,0.0,0.7948,0.6411,0.6411,0.0,3,3,0.1499,0.1499
4x slow (528 bars),stock/CAT,528,1,264,0.3788,3.2964,-1.2763,-1.235,0.0414,4,4,-0.2721,-0.2655
4x slow (528 bars),stock/CSCO,528,0,264,0.0,0.496,1.1828,1.1828,0.0,1,1,0.3147,0.3147
4x slow (528 bars),stock/CVX,528,0,264,0.0,2.112,0.1132,0.1132,0.0,2,2,0.0044,0.0044
4x slow (528 bars),stock/DIS,528,2,264,0.7576,2.7425,0.4297,0.3842,-0.0455,3,3,0.0625,0.0536
4x slow (528 bars),stock/GE,528,0,264,0.0,10.0948,,,,0,0,0.0,0.0
4x slow (528 bars),stock/GS,528,1,264,0.3788,10.1538,-0.2233,-0.1678,0.0554,2,2,-0.0378,-0.0306
4x slow (528 bars),stock/HD,528,0,264,0.0,3.5704,0.2892,0.2892,0.0,2,2,0.0358,0.0358
4x slow (528 bars),stock/IBM,528,2,264,0.7576,11.374,-1.0612,-0.9917,0.0695,4,4,-0.1688,-0.1591
4x slow (528 bars),stock/INTC,528,0,264,0.0,1.6085,0.4241,0.4241,0.0,3,3,0.0749,0.0749
4x slow (528 bars),stock/JNJ,528,3,264,1.1364,8.7766,-0.0595,-0.1362,-0.0767,4,4,-0.0239,-0.0369
4x slow (528 bars),stock/JPM,528,0,264,0.0,3.4229,0.0089,0.0089,0.0,2,2,-0.0173,-0.0173
4x slow (528 bars),stock/KO,528,2,264,0.7576,3.697,0.0275,0.1031,0.0756,3,3,-0.0073,0.004
4x slow (528 bars),stock/MCD,528,8,264,3.0303,3.6532,0.1424,0.5556,0.4132,7,3,0.0093,0.0947
4x slow (528 bars),stock/MMM,528,0,264,0.0,6.5789,-1.3739,-1.3739,0.0,4,4,-0.1892,-0.1892
4x slow (528 bars),stock/MRK,528,1,264,0.3788,4.0173,2.2026,2.217,0.0144,1,1,0.3876,0.3903
4x slow (528 bars),stock/MSFT,528,0,264,0.0,0.4968,0.9928,0.9928,0.0,1,1,0.2736,0.2736
4x slow (528 bars),stock/NKE,528,0,264,0.0,0.3653,0.6646,0.6646,0.0,3,3,0.147,0.147
4x slow (528 bars),stock/PFE,528,0,264,0.0,4.3063,1.3165,1.3165,0.0,1,1,0.2682,0.2682
4x slow (528 bars),stock/PG,528,1,264,0.3788,2.0301,1.3807,1.2976,-0.083,3,1,0.2234,0.2069
4x slow (528 bars),stock/UNH,528,0,264,0.0,0.3219,0.9977,0.9977,0.0,1,1,0.2186,0.2186
4x slow (528 bars),stock/VZ,528,9,264,3.4091,4.7489,0.1811,0.0997,-0.0814,9,9,0.0165,0.0012
4x slow (528 bars),stock/WMT,528,0,264,0.0,6.3071,-0.0653,-0.0653,0.0,3,3,-0.0364,-0.0364
4x slow (528 bars),stock/XOM,528,1,264,0.3788,2.6085,-0.5075,-0.529,-0.0215,4,4,-0.0776,-0.0804
3x slow (396 bars),crypto/BTC_14_19,396,0,132,0.0,0.6915,3.5848,3.5848,0.0,1,1,8.5388,8.5388
3x slow (396 bars),crypto/BTC_20_26,396,0,132,0.0,5.1621,,,,0,0,0.0,0.0
3x slow (396 bars),crypto/ETH_24_25,396,1,132,0.7576,17.1551,-0.7753,-0.6808,0.0944,2,2,-0.5221,-0.4903
3x slow (396 bars),etf/GLD,396,0,132,0.0,2.8852,1.3882,1.3882,0.0,1,1,0.0641,0.0641
3x slow (396 bars),etf/QQQ,396,0,132,0.0,3.8241,-1.2518,-1.2518,0.0,2,2,-0.2106,-0.2106
3x slow (396 bars),etf/SHY,396,0,132,0.0,0.3236,3.162,3.162,0.0,1,1,0.0306,0.0306
3x slow (396 bars),etf/SPY,396,3,132,2.2727,5.0862,-0.8029,-0.9142,-0.1113,2,4,-0.0966,-0.1199
3x slow (396 bars),fut_commodity/BRENT_W,396,1,132,0.7576,1.0125,-1.0922,-1.1314,-0.0392,3,3,-0.2169,-0.2231
3x slow (396 bars),fut_commodity/COPPER,396,12,132,9.0909,9.7485,0.1154,-1.1088,-1.2242,3,5,0.0057,-0.0953
3x slow (396 bars),fut_commodity/CORN,396,0,132,0.0,4.5058,,,,0,0,0.0,0.0
3x slow (396 bars),fut_commodity/COTTON,396,1,132,0.7576,3.8619,-0.3994,-0.3995,-0.0002,1,1,-0.0625,-0.0625
