slow,med_sharpe_top_fast,best_fast,nb_min
294,0.4222,150,0.3818
298,0.4069,150,0.3818
302,0.4038,146,0.3787
306,0.4016,146,0.3773
310,0.399,142,0.3773
314,0.4024,162,0.3773
318,0.4022,162,0.3773
322,0.4115,22,0.3773
326,0.4031,158,0.3773
330,0.406,154,0.3847
334,0.4025,150,0.3847
338,0.4125,122,0.3851
342,0.4164,122,0.3868
346,0.416,122,0.3945
350,0.4369,138,0.3968
354,0.4274,138,0.402
358,0.4231,110,0.402
362,0.4187,118,0.4026
366,0.4246,122,0.4026
370,0.4213,106,0.4007
374,0.4206,118,0.3997
378,0.4375,58,0.3982
382,0.4308,62,0.3987
386,0.4091,122,0.4006
390,0.4263,62,0.4017
394,0.4174,110,0.4017
398,0.4191,110,0.4017
402,0.4189,110,0.4017
406,0.4429,50,0.4002
410,0.4268,62,0.4002
414,0.4389,58,0.4002
418,0.4487,62,0.4009
422,0.4273,34,0.4067
426,0.4478,34,0.4067
430,0.4305,50,0.4087
434,0.4271,98,0.4108
438,0.4307,26,0.4108
442,0.4375,250,0.4115
446,0.4238,246,0.4115
450,0.4261,166,0.3994
454,0.4241,90,0.3948
458,0.4313,86,0.3948
462,0.4281,82,0.3948
466,0.4279,82,0.3948
470,0.4271,210,0.4002
474,0.4258,42,0.3982
478,0.4352,86,0.4001
482,0.4386,86,0.3984
486,0.4289,38,0.3955
490,0.4211,54,0.3968
494,0.4198,194,0.3964
498,0.4202,30,0.3926
502,0.4168,46,0.3908
506,0.4183,46,0.3908
510,0.4197,46,0.3908
514,0.4107,22,0.3876
518,0.4181,22,0.3876
522,0.4089,22,0.3876
526,0.4208,22,0.3871
530,0.4045,82,0.3871
534,0.4016,82,0.3871
538,0.3952,22,0.3871
542,0.4015,90,0.3871
546,0.4009,126,0.3795
550,0.3987,22,0.3789
554,0.4062,122,0.3751
558,0.401,118,0.3751
562,0.403,118,0.3743
566,0.4133,18,0.3876
570,0.4077,18,0.3879
574,0.4153,18,0.3879
578,0.421,26,0.3879
582,0.4184,18,0.3887
586,0.4086,18,0.3888
590,0.4176,18,0.3916
594,0.4222,10,0.3916
598,0.4138,14,0.3952
602,0.4117,14,0.3954
606,0.4105,10,0.3954
610,0.4123,18,0.3954
614,0.4141,186,0.3954
618,0.4409,186,0.3929
622,0.4234,226,0.3929
626,0.4433,182,0.3922
630,0.4265,182,0.3989
634,0.4284,222,0.4064
638,0.4396,178,0.4064
642,0.4361,178,0.4103
646,0.4342,218,0.4153
650,0.4502,214,0.418
654,0.4684,174,0.4238
658,0.472,158,0.4238
662,0.4619,170,0.4302
666,0.4606,46,0.4369
670,0.4542,158,0.4466
674,0.4595,150,0.4465
678,0.4698,150,0.4465
682,0.4576,50,0.4465
686,0.4731,34,0.4465
690,0.4655,34,0.4465
694,0.4923,34,0.4465
698,0.4842,214,0.4459
702,0.4739,146,0.4443
706,0.4772,146,0.4443
710,0.473,146,0.4553
714,0.4652,150,0.4553
718,0.4615,198,0.4553
722,0.4702,154,0.4424
726,0.4622,150,0.4424
730,0.4765,154,0.4409
734,0.474,150,0.441
738,0.4611,190,0.4406
742,0.4608,146,0.4406
746,0.4629,146,0.43
750,0.4672,146,0.43
754,0.4685,146,0.43
758,0.4558,142,0.4286
762,0.4429,170,0.4277
766,0.4514,142,0.4165
770,0.4637,142,0.4165
774,0.4419,138,0.4083
778,0.4368,142,0.4083
782,0.4237,138,0.4083
786,0.4338,138,0.4083
790,0.4324,110,0.4083
794,0.4367,110,0.4061
798,0.4393,134,0.4019
802,0.4432,158,0.4183
806,0.4381,118,0.4183
810,0.4393,130,0.4183
814,0.437,10,0.4184
818,0.4381,114,0.4201
822,0.44,118,0.4201
826,0.4356,114,0.4201
830,0.4392,2,0.4201
834,0.4342,6,0.4201
838,0.4318,6,0.4201
842,0.4365,114,0.4171
846,0.4414,114,0.4162
850,0.4376,138,0.4162
854,0.4324,118,0.4117
858,0.4325,66,0.4112
862,0.463,66,0.4122
866,0.4442,50,0.415
870,0.4447,50,0.4148
874,0.4361,62,0.4148
878,0.4361,58,0.4148
882,0.4303,106,0.4148
886,0.4268,106,0.4112
890,0.4342,106,0.4104
894,0.4448,106,0.4104
898,0.441,106,0.4104
902,0.4216,106,0.4125
906,0.426,106,0.4135
910,0.4341,122,0.4135
914,0.4323,122,0.4135
918,0.4395,122,0.4135
922,0.4416,110,0.4168
926,0.4397,118,0.4168
930,0.4496,118,0.4179
934,0.4572,118,0.4187
938,0.4476,114,0.4187
942,0.4495,114,0.4187
946,0.4379,50,0.4187
950,0.4451,110,0.4193
954,0.4507,54,0.4193
958,0.4489,50,0.421
962,0.4486,54,0.421
966,0.4495,46,0.421
970,0.451,46,0.421
974,0.4494,50,0.4263
978,0.4501,50,0.4267
982,0.449,94,0.4226
986,0.4479,50,0.4226
990,0.456,50,0.4226
994,0.4442,94,0.4226
998,0.4375,94,0.4226
