pair,fast,slow,mode,sharpe,cagr,max_dd,calmar,vol,vt_sharpe,vt_cagr,vt_dd,vt_calmar,markets,active_share,bars,why
120/386,120,386,long,0.578,0.073,-0.544,0.134,0.138,0.818,0.074,-0.351,0.212,81,0.111,15312,cand_ls
120/386,120,386,ls,0.264,0.03,-0.848,0.036,0.164,0.575,0.053,-0.524,0.102,81,0.111,15312,cand_ls
120/388,120,388,long,0.582,0.073,-0.543,0.135,0.138,0.83,0.076,-0.348,0.217,81,0.111,15308,cand_ls
120/388,120,388,ls,0.265,0.031,-0.851,0.036,0.164,0.58,0.054,-0.532,0.101,81,0.111,15308,cand_ls
120/390,120,390,long,0.599,0.076,-0.539,0.14,0.138,0.849,0.078,-0.337,0.231,81,0.111,15305,cand_ls
120/390,120,390,ls,0.28,0.033,-0.847,0.039,0.164,0.591,0.055,-0.54,0.102,81,0.111,15305,cand_ls
120/392,120,392,long,0.594,0.075,-0.539,0.139,0.138,0.843,0.077,-0.335,0.23,81,0.111,15303,cand_ls
120/392,120,392,ls,0.276,0.032,-0.845,0.038,0.164,0.586,0.054,-0.532,0.102,81,0.111,15303,cand_ls
120/394,120,394,long,0.59,0.074,-0.538,0.138,0.138,0.837,0.076,-0.334,0.229,81,0.111,15301,cand_ls
120/394,120,394,ls,0.266,0.031,-0.849,0.036,0.164,0.58,0.054,-0.539,0.1,81,0.111,15301,cand_ls
120/396,120,396,long,0.58,0.073,-0.54,0.135,0.138,0.826,0.075,-0.335,0.225,81,0.111,15297,cand_ls
120/396,120,396,ls,0.253,0.028,-0.847,0.033,0.164,0.567,0.052,-0.532,0.099,81,0.111,15297,cand_ls
120/398,120,398,long,0.586,0.074,-0.533,0.138,0.138,0.836,0.076,-0.306,0.249,81,0.111,15294,cand_ls
120/398,120,398,ls,0.263,0.03,-0.832,0.036,0.164,0.576,0.053,-0.506,0.106,81,0.111,15294,cand_ls
120/400,120,400,long,0.585,0.074,-0.533,0.138,0.138,0.84,0.077,-0.305,0.251,81,0.111,15292,cand_ls
120/400,120,400,ls,0.253,0.028,-0.845,0.034,0.164,0.564,0.052,-0.541,0.097,81,0.111,15292,cand_ls
